,Unnamed: 0,id,text,time_stamp
685610,685610,2250819430,"@MrDAprano, honnestly I'm not going to miss the Janitor as the show was seriously loseing its tracks in seasons 6, 7 and even 8 ",Sat Jun 20 01:34:59 PDT 2009
446784,446784,2068515884,"Tired after spending a restless night with Tiernan.  Off to the doctors with him today, I suspect he has an ear infection. ",Sun Jun 07 14:12:53 PDT 2009
1231978,1231978,1991871464,"@bradgallaway Yup popiscle  Not sure if you've got strawberry splits there, but they're strawberry ice withvanilla ice cream in the middle",Mon Jun 01 07:48:38 PDT 2009
1496263,1496263,2070090087,@candydiaz LOL save a lil arse for me candy! ,Sun Jun 07 17:04:40 PDT 2009
944257,944257,1795457800,@StephanieFizer No problem!! Your stuff is so cute. Can't wait to see the mini cards you're making for me ,Thu May 14 07:48:29 PDT 2009
983304,983304,1834281026,Salt and Vinegar chips are yummy  On Myspace atm ,Mon May 18 02:19:42 PDT 2009
1043726,1043726,1957358692,Congrats to all the graduates! ,Fri May 29 00:15:30 PDT 2009
466216,466216,2175515717,NOT HAPPY ,Mon Jun 15 01:12:21 PDT 2009
867794,867794,1677828299,just watched ghost whisperer &lt;3 woohoo jimel wedding  again. can't wait for next weeked episode,Sat May 02 04:12:20 PDT 2009
1437563,1437563,2061184571,Date night continues with Margherita pizza and Slumdog Millionaire. ,Sat Jun 06 20:20:57 PDT 2009
1136025,1136025,1976557041,"Still not as good as Beverly Hills Chihauhau, but hey, not much is! ",Sat May 30 18:26:07 PDT 2009
1538600,1538600,2179923923,"@SQLSarg Funny though, I used the same terminology with my first ",Mon Jun 15 09:46:13 PDT 2009
350045,350045,2017492267,"@gjessicaF ME TOO. IVORYLINE, SECRET AND WHISPER, EMERY AND MAYLENE&amp;TSOD ON THE SAME TOUR  Wish this was in the UK",Wed Jun 03 08:28:47 PDT 2009
553880,553880,2203724374,@Jeff_isChill my phone isn't connecting to the net very good so I'm always hours behind... saw you on yahoo but it logged me out ,Wed Jun 17 00:23:12 PDT 2009
1269737,1269737,2000287028,My new job is amazing ,Mon Jun 01 21:47:35 PDT 2009
285033,285033,1993469743,tryin to find some friends on twitter ,Mon Jun 01 10:25:42 PDT 2009
1166579,1166579,1979951432,"Good morning, Twitter! ",Sun May 31 05:08:44 PDT 2009
1038610,1038610,1956700710,o man! HAHA The Office is great. if you wanna a good laugh..watch the lates episode on hulu..or hulu desktop ,Thu May 28 22:28:34 PDT 2009
86911,86911,1754280065,i can't believe this is happening. poor #kimi. ,Sun May 10 05:42:05 PDT 2009
449609,449609,2069287160,poor cow. that was harsh bb ... harsh ... ,Sun Jun 07 15:36:07 PDT 2009
1305853,1305853,2011502751,bubble bath ,Tue Jun 02 19:07:16 PDT 2009
1239684,1239684,1993622377,Watching the lion king ,Mon Jun 01 10:40:22 PDT 2009
464327,464327,2175104041,@xoxo_loza_xoxo i know  it sucks sometimes. but all we can do is try harder (:,Mon Jun 15 00:05:41 PDT 2009
777575,777575,2322454401,I got a coupon but its all in spanish  something bout 10 dollaros,Wed Jun 24 22:38:48 PDT 2009
34589,34589,1564873348,"Misses her babies as they're in Spain with Daddy and it's her youngests 4th Birthday, won't see them til tonight  XxX",Mon Apr 20 05:12:43 PDT 2009
543449,543449,2200780716,@hellsyeameghan  2 hours? that sucks...i guess we cant hang,Tue Jun 16 19:21:49 PDT 2009
911736,911736,1752052404,says she wants to be w/ marykay @ sendai right now ,Sat May 09 20:56:13 PDT 2009
288610,288610,1994653239,come back tumblr ,Mon Jun 01 12:15:12 PDT 2009
849649,849649,1565166108,@jallen285 I got you a prezzie ,Mon Apr 20 06:04:31 PDT 2009
17085,17085,1556160362,is tired . ,Sat Apr 18 21:50:45 PDT 2009
1415134,1415134,2057170728,"Пойду �?ейча�? на White Trash For Cash party, где наверн�?ка будет много геев. Как же без них на модный вечеринках ",Sat Jun 06 12:30:17 PDT 2009
641255,641255,2235198463,hospital 2day  wish me luck,Fri Jun 19 00:39:07 PDT 2009
